Parameter,Details
"**pxe_mapping_file_path**

``string``

Optional","* Enter the path where user has placed the PXE mapping CSV file that contains the node details for provisioning. 
* The file must follow the format: FUNCTIONAL_GROUP_NAME, GROUP_NAME, SERVICE_TAG, PARENT_SERVICE_TAG, HOSTNAME, ADMIN_MAC, ADMIN_IP, BMC_MAC, BMC_IP 
* This variable is required to discover nodes using a mapping file.
* The headers of the ``.csv`` file are are FUNCTIONAL_GROUP_NAME, GROUP_NAME, SERVICE_TAG, PARENT_SERVICE_TAG, HOSTNAME, ADMIN_MAC, ADMIN_IP, BMC_MAC, BMC_IP 
* A sample file is provided here: ``/omnia/examples/pxe_mapping_file.csv``"
"**timezone**

``string``

Required","Timezone to be used during OS provisioning. Available timezones are provided `here <../../../Appendices/Timezones.html>`_.

Choices:

* ``GMT`` <- default
* ``EST``
* ``CET``
* ``MST``
* ``CST6CDT``
* ``PST8PDT``"
"**language**

``string``

Required","Language to be used during OS provisioning.

**Default value**: ``en-US``"
"**default_lease_time**

``integer``

Required","Default lease time for IPs assigned by DHCP. Range: 21600-86400

**Default value**: ``86400``"
