Parameter,Details,Supported Package Type
**additional_packages**,"* **Type**: string
* Provide the name of the additional software packages to be installed on all cluster nodes.
.. Note::
   The images listed under ``additional_packages`` are installed only on Service Kubernetes Cluster nodes.","* **rpm**: requires ``repo_name``
* **image**: requires ``tag`` or ``digest``"
**service_kube_control_plane**,"* **Type**: string
* Provide the name of the additional software packages to be installed on Kubernetes control nodes.","* **rpm**: requires ``repo_name``
* **image**: requires ``tag`` or ``digest``"
**service_kube_control_plane_first**,"* **Type**: string
* Provide the name of the additional software packages to be installed on all Kubernetes control first node.","* **rpm**: requires ``repo_name``
* **image**: requires ``tag`` or ``digest``"
**service_kube_node**,"* **Type**: string
* Provide the name of the additional software packages to be installed on all Kubernetes worker nodes.","* **rpm**: requires ``repo_name``
* **image**: requires ``tag`` or ``digest``"
**slurm_control_node**,"* **Type**: string
* Provide the name of the additional software packages to be installed on all Slurm head nodes.",* **rpm**: requires ``repo_name``
**slurm_node**,"* **Type**: string
* Provide the name of the additional software packages to be installed on all Slurm worker nodes.",* **rpm**: requires ``repo_name``
**login_node**,"* **Type**: string
* Provide the name of the additional software packages to be installed on login nodes.",* **rpm**: requires ``repo_name``
**login_compiler_node**,"* **Type**: string
* Provide the name of the additional software packages to be installed on login compiler node.",* **rpm**: requires ``repo_name``
