Variables,Details
"**cluster_name**

    ``string``


    Mandatory",* Indicates the name of the cluster.
"**nfs_storage_name**

    ``string``




    Mandatory","* Indicates the NFS storage name for the NFS storage to be used by this slurm cluster.
* This is defined in storage_config.yml as nfs_name."
"**config_sources**

    ``dict`` or ``mapping``


    Optional","* Indicates how the slurm configuration values are provided to the cluster.
* <conf name> :  <dict> or <mapping>

    * The conf files supported by slurm are slurm, cgroup, gres, mpi, helpers, job_container, acct_gather, oci, plugstack, and topology.

    * <dict>: Supply the absolute path to a custom configuration file.
    * <mapping>: Supply the configuration values directly as a key–value map
.. note::  For slurm, Nodeset and Partition configurations are not supported.
"
