Role Name,Layer,Details
service_kube_control_plane_first_x86_64,Management,"* This ``functional_group`` is used to configure the first kubernetes control plane on service cluster.

* The nodes included in this functional_group will have the necessary tools and configurations to configure Kubernetes control plane on service cluster.

    ::

      -  name: ""service_kube_control_plane_first_x86_64""
        cluster_name: ""service_cluster""
        group:
          - grp3"
service_kube_control_plane_x86_64,Management,"* This functional_group is used to configure the additional kubernetes control plane nodes on service cluster.

* The nodes included in this functional_group will have the necessary tools and configurations to configure additional Kubernetes control plane  to provide HA on service cluster.

    ::

        - name: ""service_kube_control_plane_x86_64""
          cluster_name: ""service_cluster""
         group:
            - grp4"
service_kube_node_x86_64- ``service_kube_node``,Management,"* This role is used to configure the Kubernetes worker nodes on service cluster. This role should not have same group as ``kube_node`` role.

* The nodes included in this role will have the necessary tools and configurations to configure and run Kubernetes worker on service cluster.

* ``service_kube_node`` role: Service Cluster Kubernetes worker node groups can be provided in this role.
    
     ::

          - name: ""service_kube_node_x86_64""
            cluster_name: ""service_cluster""
            group:
                - grp5"
